mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
7.543136755625407,0.059113042054353235,4.285444974899292,0.18734413944724582,balanced,15,sqrt,2,5,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",,,,,,1
4.1836990515391035,0.15975354944139483,4.0457626183827715,0.23919926479949125,balanced,15,sqrt,2,10,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,1
6.747765302658081,0.1558669852870574,3.5850789546966553,0.36615046153497105,balanced,15,sqrt,2,10,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,1
8.851986726125082,0.045278470669805254,2.9650259812672934,0.30341535525364766,balanced,15,sqrt,2,10,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",,,,,,1
5.730454921722412,0.4149296568699358,2.4361838499704995,0.5786455967207251,balanced,15,sqrt,2,20,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 100}",,,,,,1
5.546737194061279,0.5238845773716394,3.9456538359324136,0.16543140642946355,balanced,15,sqrt,2,20,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",,,,,,1
6.604723532994588,0.06879110273541268,3.118260463078817,0.2113695154645233,balanced,15,sqrt,2,20,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 300}",,,,,,1
5.217785120010376,0.23694594539488986,3.304908116658529,0.1962624835364514,balanced,15,sqrt,5,5,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,1
6.25618847211202,0.13824090776008846,3.7645441691080728,0.1989510046762184,balanced,15,sqrt,5,5,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,1
7.8651801745096845,0.22470868671127275,2.3242697715759277,0.6289463999440817,balanced,15,sqrt,5,5,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",,,,,,1
5.013884782791138,0.35867875290983126,2.6036272843678794,1.287793062870667,balanced,15,sqrt,5,10,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,1
6.745634873708089,0.29686969486836523,3.2812310059865317,0.41137638406497284,balanced,15,sqrt,5,10,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,1
7.239005088806152,0.19994150448975587,3.7682627042134604,0.1666882410045811,balanced,15,sqrt,5,10,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",,,,,,1
